id,nome,tipos,base stats
80,Slowbro,WATER|PSYCHIC,95|75|110|100|80|30
81,Magnemite,ELECTRIC|STEEL,25|35|70|95|55|45
82,Magneton,ELECTRIC|STEEL,50|60|95|120|70|70
83,Farfetch'd,NORMAL|FLYING,52|90|55|58|62|60
84,Doduo,NORMAL|FLYING,35|85|45|35|35|75
85,Dodrio,NORMAL|FLYING,60|110|70|60|60|110
86,Seel,WATER,65|45|55|45|70|45
87,Dewgong,WATER|ICE,90|70|80|70|95|70
88,Grimer,POISON,80|80|50|40|50|25
89,Muk,POISON,105|105|75|65|100|50
90,Shellder,WATER,30|65|100|45|25|40
91,Cloyster,WATER|ICE,50|95|180|85|45|70
92,Gastly,GHOST|POISON,30|35|30|100|35|80
93,Haunter,GHOST|POISON,45|50|45|115|55|95
94,Gengar,GHOST|POISON,60|65|60|130|75|110
95,Onix,ROCK|GROUND,35|45|160|30|45|70
96,Drowzee,PSYCHIC,60|48|45|43|90|42
97,Hypno,PSYCHIC,85|73|70|73|115|67
98,Krabby,WATER,30|105|90|25|25|50
99,Kingler,WATER,55|130|115|50|50|75
100,Voltorb,ELECTRIC,40|30|50|55|55|100
101,Electrode,ELECTRIC,60|50|70|80|80|150
102,Exeggcute,GRASS|PSYCHIC,60|40|80|60|45|40
103,Exeggutor,GRASS|PSYCHIC,95|95|85|125|75|55
104,Cubone,GROUND,50|50|95|40|50|35
105,Marowak,GROUND,60|80|110|50|80|45
106,Hitmonlee,FIGHTING,50|120|53|35|110|87
107,Hitmonchan,FIGHTING,50|105|79|35|110|76
108,Lickitung,NORMAL,90|55|75|60|75|30
109,Koffing,POISON,40|65|95|60|45|35
110,Weezing,POISON,65|90|120|85|70|60
111,Rhyhorn,GROUND|ROCK,80|85|95|30|30|25
112,Rhydon,GROUND|ROCK,105|130|120|45|45|40
113,Chansey,NORMAL,250|5|5|35|105|50
114,Tangela,GRASS,65|55|115|100|40|60
115,Kangaskhan,NORMAL,105|95|80|40|80|90
116,Horsea,WATER,30|40|70|70|25|60
117,Seadra,WATER,55|65|95|95|45|85
118,Goldeen,WATER,45|67|60|35|50|63
119,Seaking,WATER,80|92|65|65|80|68
120,Staryu,WATER,30|45|55|70|55|85
121,Starmie,WATER|PSYCHIC,60|75|85|100|85|115
122,Mr. Mime,PSYCHIC|FAIRY,40|45|65|100|120|90
123,Scyther,BUG|FLYING,70|110|80|55|80|105
124,Jynx,ICE|PSYCHIC,65|50|35|115|95|95
125,Electabuzz,ELECTRIC,65|83|57|95|85|105
126,Magmar,FIRE,65|95|57|100|85|93
127,Pinsir,BUG,65|125|100|55|70|85
128,Tauros,NORMAL,75|100|95|40|70|110
129,Magikarp,WATER,20|10|55|15|20|80
130,Gyarados,WATER|FLYING,95|125|79|60|100|81
131,Lapras,WATER|ICE,130|85|80|85|95|60
132,Ditto,NORMAL,48|48|48|48|48|48
133,Eevee,NORMAL,55|55|50|45|65|55
134,Vaporeon,WATER,130|65|60|110|95|65
135,Jolteon,ELECTRIC,65|65|60|110|95|130
136,Flareon,FIRE,65|130|60|95|110|65
137,Porygon,NORMAL,65|60|70|85|75|40
138,Omanyte,ROCK|WATER,35|40|100|90|55|35
139,Omastar,ROCK|WATER,70|60|125|115|70|55
140,Kabuto,ROCK|WATER,30|80|90|55|45|55
141,Kabutops,ROCK|WATER,60|115|105|65|70|80
142,Aerodactyl,ROCK|FLYING,80|105|65|60|75|130
143,Snorlax,NORMAL,160|110|65|65|110|30
144,Articuno,ICE|FLYING,90|85|100|95|125|85
145,Zapdos,ELECTRIC|FLYING,90|90|85|125|90|100
146,Moltres,FIRE|FLYING,90|100|90|125|85|90
147,Dratini,DRAGON,41|64|45|50|50|50
148,Dragonair,DRAGON,61|84|65|70|70|70
149,Dragonite,DRAGON|FLYING,91|134|95|100|100|80
150,Mewtwo,PSYCHIC,106|110|90|154|90|130
151,Mew,PSYCHIC,100|100|100|100|100|100
152,Chikorita,GRASS,45|49|65|49|65|45
153,Bayleef,GRASS,60|62|80|63|80|60
154,Meganium,GRASS,80|82|100|83|100|80
155,Cyndaquil,FIRE,39|52|43|60|50|65
156,Quilava,FIRE,58|64|58|80|65|80
157,Typhlosion,FIRE,78|84|78|109|85|100
158,Totodile,WATER,50|65|64|44|48|43
159,Croconaw,WATER,65|80|80|59|63|58
160,Feraligatr,WATER,85|105|100|79|83|78
161,Sentret,NORMAL,35|46|34|35|45|20
162,Furret,NORMAL,85|76|64|45|55|90
163,Hoothoot,NORMAL|FLYING,60|30|30|36|56|50
164,Noctowl,NORMAL|FLYING,100|50|50|86|96|70
165,Ledyba,BUG|FLYING,40|20|30|40|80|55
166,Ledian,BUG|FLYING,55|35|50|55|110|85
167,Spinarak,BUG|POISON,40|60|40|40|40|30
168,Ariados,BUG|POISON,70|90|70|60|70|40
169,Crobat,POISON|FLYING,85|90|80|70|80|130
170,Chinchou,WATER|ELECTRIC,75|38|38|56|56|67
171,Lanturn,WATER|ELECTRIC,125|58|58|76|76|67
172,Pichu,ELECTRIC,20|40|15|35|35|60
173,Cleffa,FAIRY,50|25|28|45|55|15
174,Igglybuff,NORMAL|FAIRY,90|30|15|40|20|15
175,Togepi,FAIRY,35|20|65|40|65|20
176,Togetic,FAIRY|FLYING,55|40|85|80|105|40
177,Natu,PSYCHIC|FLYING,40|50|45|70|45|70
178,Xatu,PSYCHIC|FLYING,65|75|70|95|70|95
179,Mareep,ELECTRIC,55|40|40|65|45|35
180,Flaafy,ELECTRIC,70|55|55|80|60|45
181,Ampharos,ELECTRIC,90|75|85|115|90|55
182,Bellossom,GRASS,75|80|95|90|100|50
183,Marill,WATER|FAIRY,70|20|50|20|50|40
184,Azumarill,WATER|FAIRY,100|50|80|60|80|50
185,Sudowoodo,ROCK,70|100|115|30|65|30
186,Politoed,WATER,90|75|75|90|100|70
187,Hoppip,GRASS|FLYING,35|35|40|35|55|50
188,Skiploom,GRASS|FLYING,55|45|50|45|65|80
189,Jumpluff,GRASS|FLYING,75|55|70|55|95|110
190,Aipom,NORMAL,55|70|55|40|55|85
191,Sunkern,GRASS,30|30|30|30|30|30
192,Sunflora,GRASS,75|75|55|105|85|30
193,Yanma,BUG|FLYING,65|65|45|75|45|95
194,Wooper,WATER|GROUND,55|45|45|25|25|15
195,Quagsire,WATER|GROUND,95|85|85|65|65|35
196,Espeon,PSYCHIC,65|65|60|130|95|110
197,Umbreon,DARK,95|65|110|60|130|65
198,Murkrow,DARK|FLYING,60|85|42|85|42|91
199,Slowking,WATER|PSYCHIC,95|75|80|100|110|30
200,Misdreavus,GHOST,60|60|60|85|85|85
201,Unown,PSYCHIC,48|72|48|72|48|48
202,Wobbuffet,PSYCHIC,190|33|58|33|58|33
203,Girafarig,NORMAL|PSYCHIC,70|80|65|90|65|85
204,Pineco,BUG,50|65|90|35|35|15
205,Forretress,BUG|STEEL,75|90|140|60|60|40
206,Dunsparce,NORMAL,100|70|70|65|65|45
207,Gligar,GROUND|FLYING,65|75|105|35|65|85
208,Steelix,STEEL|GROUND,75|85|200|55|65|30
209,Snubbull,FAIRY,60|80|50|40|40|30
210,Granbull,FAIRY,90|120|75|60|60|45
211,Qwilfish,WATER|POISON,65|95|85|55|55|85
212,Scizor,BUG|STEEL,70|130|100|55|80|65
213,Shuckle,BUG|ROCK,20|10|230|10|230|5
214,Heracross,BUG|FIGHTING,80|125|75|40|95|85
215,Sneasel,DARK|ICE,55|95|55|35|75|115
216,Teddiursa,NORMAL,60|80|50|50|50|40
217,Ursaring,NORMAL,90|130|75|75|75|55
218,Slugma,FIRE,40|40|40|70|40|20
219,Magcargo,FIRE|ROCK,60|50|120|90|80|30
220,Swinub,ICE|GROUND,50|50|40|30|30|50
221,Piloswine,ICE|GROUND,100|100|80|60|60|50
222,Corsola,WATER|ROCK,65|55|95|65|95|35
223,Remoraid,WATER,35|65|35|65|35|65
224,Octillery,WATER,75|105|75|105|75|45
225,Delibird,ICE|FLYING,45|55|45|65|45|75
226,Mantine,WATER|FLYING,85|40|70|80|140|70
227,Skarmory,STEEL|FLYING,65|80|140|40|70|70
228,Houndour,DARK|FIRE,45|60|30|80|50|65
229,Houndoom,DARK|FIRE,75|90|50|110|80|95
230,Kingdra,WATER|DRAGON,75|95|95|95|95|85
231,Phanpy,GROUND,90|60|60|40|40|40
232,Donphan,GROUND,90|120|120|60|60|50
233,Porygon2,NORMAL,85|80|90|105|95|60
234,Stantler,NORMAL,73|95|62|85|65|85
235,Smeargle,NORMAL,55|20|35|20|45|75
236,Tyrogue,FIGHTING,35|35|35|35|35|35
237,Hitmontop,FIGHTING,50|95|95|35|110|70
238,Smoochum,ICE|PSYCHIC,45|30|15|85|65|65
239,Elekid,ELECTRIC,45|63|37|65|55|95
240,Magby,FIRE,45|75|37|70|55|83
241,Miltank,NORMAL,95|80|105|40|70|100
242,Blissey,NORMAL,255|10|10|75|135|55
243,Raikou,ELECTRIC,90|85|75|115|100|115
244,Entei,FIRE,115|115|85|90|75|100
245,Suicune,WATER,100|75|115|90|115|85
246,Larvitar,ROCK|GROUND,50|64|50|45|50|41
247,Pupitar,ROCK|GROUND,70|84|70|65|70|51
248,Tyranitar,ROCK|DARK,100|134|110|95|100|61
249,Lugia,PSYCHIC|FLYING,106|90|130|90|154|110
250,Ho-Oh,FIRE|FLYING,106|130|90|110|154|90
251,Celebi,PSYCHIC|GRASS,100|100|100|100|100|100
252,Treecko,GRASS,40|45|35|65|55|70
253,Grovyle,GRASS,50|65|45|85|65|95
254,Sceptile,GRASS,70|85|65|105|85|120
255,Torchic,FIRE,45|60|40|70|50|45
256,Combusken,FIRE|FIGHTING,60|85|60|85|60|55
257,Blaziken,FIRE|FIGHTING,80|120|70|110|70|80
258,Mudkip,WATER,50|70|50|50|50|40
259,Marshtomp,WATER|GROUND,70|85|70|60|70|50
260,Swampert,WATER|GROUND,100|110|90|85|90|60
261,Poochyena,DARK,35|55|35|30|30|35
262,Mightyena,DARK,70|90|70|60|60|70
263,Zigzagoon,NORMAL,38|30|41|30|41|60
264,Linoone,NORMAL,78|70|61|50|61|100
265,Wurmple,BUG,45|45|35|20|30|20
266,Silcoon,BUG,50|35|55|25|25|15
267,Beautifly,BUG|FLYING,60|70|50|100|50|65
268,Cascoon,BUG,50|35|55|25|25|15
269,Dustox,BUG|POISON,60|50|70|50|90|65
270,Lotad,WATER|GRASS,40|30|30|40|50|30
271,Lombre,WATER|GRASS,60|50|50|60|70|50
272,Ludicolo,WATER|GRASS,80|70|70|90|100|70
273,Seedot,GRASS,40|40|50|30|30|30
274,Nuzleaf,GRASS|DARK,70|70|40|60|40|60
275,Shiftry,GRASS|DARK,90|100|60|90|60|80
276,Taillow,NORMAL|FLYING,40|55|30|30|30|85
277,Swellow,NORMAL|FLYING,60|85|60|75|50|125
278,Wingull,WATER|FLYING,40|30|30|55|30|85
279,Pelipper,WATER|FLYING,60|50|100|95|70|65
280,Ralts,PSYCHIC|FAIRY,28|25|25|45|35|40
281,Kirlia,PSYCHIC|FAIRY,38|35|35|65|55|50
282,Gardevoir,PSYCHIC|FAIRY,68|65|65|125|115|80
283,Surskit,BUG|WATER,40|30|32|50|52|65
284,Masquerain,BUG|FLYING,70|60|62|100|82|80
285,Shroomish,GRASS,60|40|60|40|60|35
286,Breloom,GRASS|FIGHTING,60|130|80|60|60|70
287,Slakoth,NORMAL,60|60|60|35|35|30
288,Vigoroth,NORMAL,80|80|80|55|55|90
289,Slaking,NORMAL,150|160|100|95|65|100
290,Nincada,BUG|GROUND,31|45|90|30|30|40
291,Ninjask,BUG|FLYING,61|90|45|50|50|160
292,Shedinja,BUG|GHOST,1|90|45|30|30|40
293,Whismur,NORMAL,64|51|23|51|23|28
294,Loudred,NORMAL,84|71|43|71|43|48
295,Exploud,NORMAL,104|91|63|91|73|68
296,Makuhita,FIGHTING,72|60|30|20|30|25
297,Hariyama,FIGHTING,144|120|60|40|60|50
298,Azurill,NORMAL|FAIRY,50|20|40|20|40|20
299,Nosepass,ROCK,30|45|135|45|90|30
300,Skitty,NORMAL,50|45|45|35|35|50
301,Delcatty,NORMAL,70|65|65|55|55|90
302,Sableye,DARK|GHOST,50|75|75|65|65|50
303,Mawile,STEEL|FAIRY,50|85|85|55|55|50
304,Aron,STEEL|ROCK,50|70|100|40|40|30
305,Lairon,STEEL|ROCK,60|90|140|50|50|40
306,Aggron,STEEL|ROCK,70|110|180|60|60|50
307,Meditite,FIGHTING|PSYCHIC,30|40|55|40|55|60
308,Medicham,FIGHTING|PSYCHIC,60|60|75|60|75|80
309,Electrike,ELECTRIC,40|45|40|65|40|65
310,Manectric,ELECTRIC,70|75|60|105|60|105
311,Plusle,ELECTRIC,60|50|40|85|75|95
312,Minun,ELECTRIC,60|40|50|75|85|95
313,Volbeat,BUG,65|73|75|47|85|85
314,Illumise,BUG,65|47|75|73|85|85
315,Roselia,GRASS|POISON,50|60|45|100|80|65
316,Gulpin,POISON,70|43|53|43|53|40
317,Swalot,POISON,100|73|83|73|83|55
318,Carvanha,WATER|DARK,45|90|20|65|20|65
319,Sharpedo,WATER|DARK,70|120|40|95|40|95
320,Wailmer,WATER,130|70|35|70|35|60
321,Wailord,WATER,170|90|45|90|45|60
322,Numel,FIRE|GROUND,60|60|40|65|45|35
323,Camerupt,FIRE|GROUND,70|100|70|105|75|40
324,Torkoal,FIRE,70|85|140|85|70|20
325,Spoink,PSYCHIC,60|25|35|70|80|60
326,Grumpig,PSYCHIC,80|45|65|90|110|80
327,Spinda,NORMAL,60|60|60|60|60|60
328,Trapinch,GROUND,45|100|45|45|45|10
329,Vibrava,GROUND|DRAGON,50|70|50|50|50|70
330,Flygon,GROUND|DRAGON,80|100|80|80|80|100
331,Cacnea,GRASS,50|85|40|85|40|35
332,Cacturne,GRASS|DARK,70|115|60|115|60|55
333,Swablu,NORMAL|FLYING,45|40|60|40|75|50
334,Altaria,DRAGON|FLYING,75|70|90|70|105|80
335,Zangoose,NORMAL,73|115|60|60|60|90
336,Seviper,POISON,73|100|60|100|60|65
337,Lunatone,ROCK|PSYCHIC,90|55|65|95|85|70
338,Solrock,ROCK|PSYCHIC,90|95|85|55|65|70
339,Barboach,WATER|GROUND,50|48|43|46|41|60
340,Whiscash,WATER|GROUND,110|78|73|76|71|60
341,Corphish,WATER,43|80|65|50|35|35
342,Crawdaunt,WATER|DARK,63|120|85|90|55|55
343,Baltoy,GROUND|PSYCHIC,40|40|55|40|70|55
344,Claydol,GROUND|PSYCHIC,60|70|105|70|120|75
345,Lileep,ROCK|GRASS,66|41|77|61|87|23
346,Cradily,ROCK|GRASS,86|81|97|81|107|43
347,Anorith,ROCK|BUG,45|95|50|40|50|75
348,Armaldo,ROCK|BUG,75|125|100|70|80|45
349,Feebas,WATER,20|15|20|10|55|80
350,Milotic,WATER,95|60|79|100|125|81
351,Castform,NORMAL,70|70|70|70|70|70
352,Kecleon,NORMAL,60|90|70|60|120|40
353,Shuppet,GHOST,44|75|35|63|33|45
354,Banette,GHOST,64|115|65|83|63|65
355,Duskull,GHOST,20|40|90|30|90|25
356,Dusclops,GHOST,40|70|130|60|130|25
357,Tropius,GRASS|FLYING,99|68|83|72|87|51
358,Chimecho,PSYCHIC,75|50|80|95|90|65
359,Absol,DARK,65|130|60|75|60|75
360,Wynaut,PSYCHIC,95|23|48|23|48|23
361,Snorunt,ICE,50|50|50|50|50|50
362,Glalie,ICE,80|80|80|80|80|80
363,Spheal,ICE|WATER,70|40|50|55|50|25
364,Sealeo,ICE|WATER,90|60|70|75|70|45
365,Walrein,ICE|WATER,110|80|90|95|90|65
366,Clamperl,WATER,35|64|85|74|55|32
367,Huntail,WATER,55|104|105|94|75|52
368,Gorebyss,WATER,55|84|105|114|75|52
369,Relicanth,WATER|ROCK,100|90|130|45|65|55
370,Luvdisc,WATER,43|30|55|40|65|97
371,Bagon,DRAGON,45|75|60|40|30|50
372,Shelgon,DRAGON,65|95|100|60|50|50
373,Salamence,DRAGON|FLYING,95|135|80|110|80|100
374,Beldum,STEEL|PSYCHIC,40|55|80|35|60|30
375,Metang,STEEL|PSYCHIC,60|75|100|55|80|50
376,Metagross,STEEL|PSYCHIC,80|135|130|95|90|70
377,Regirock,ROCK,80|100|200|50|100|50
378,Regice,ICE,80|50|100|100|200|50
379,Registeel,STEEL,80|75|150|75|150|50
380,Latias,DRAGON|PSYCHIC,80|80|90|110|130|110
381,Latios,DRAGON|PSYCHIC,80|90|80|130|110|110
382,Kyogre,WATER,100|100|90|150|140|90
383,Groudon,GROUND,100|150|140|100|90|90
384,Rayquaza,DRAGON|FLYING,105|150|90|150|90|95
385,Jirachi,STEEL|PSYCHIC,100|100|100|100|100|100
386,Deoxys,PSYCHIC,50|150|50|150|50|150
